Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Pallant Cr,Chum,Fall,1994,149,Mathers Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,7083,4839,2179.919,30.777
Pallant Cr,Chum,Fall,1994,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,4440,4440,1366.489,30.777
Pallant Cr,Chum,Fall,1994,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,11014,11014,7539.86,68.457
Pallant Cr,Chum,Fall,1995,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,44248,10608,27080.892,61.203
Pallant Cr,Chum,Fall,1995,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,10802,10802,6611.092,61.202
Pallant Cr,Chum,Fall,1995,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,3481,3481,997.07,28.643
Pallant Cr,Chum,Fall,1995,149,Mathers Cr,CM-21,EAST HG,River,N1,Total Adults,5883,5878,1685.079,28.643
Pallant Cr,Chum,Fall,1996,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,35968,9900,20205.018,56.175
Pallant Cr,Chum,Fall,1996,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,9748,9748,5475.934,56.175
Pallant Cr,Chum,Fall,1996,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,3256,3256,1238.63,38.041
Pallant Cr,Chum,Fall,1996,149,Mathers Cr,CM-21,EAST HG,River,N1,Total Adults,4041,4041,1537.255,38.041
Pallant Cr,Chum,Fall,1997,148,Pallant Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,26213,6290,19788.619,75.492
Pallant Cr,Chum,Fall,1997,149,Mathers Cr,CM-21,EAST HG,Above Fence,N1,Total Adults,3487,1987,1703.439,48.851
Pallant Cr,Chum,Fall,1997,148,Pallant Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,8860,8860,6688.559,75.492
Pallant Cr,Chum,Fall,1997,149,Mathers Cr,CM-21,EAST HG,Broodstock,B1,Total Adults,4355,4355,2127.467,48.851
Pitt R Up,Sockeye,Summer,1993,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,4398,4398,663.756,15.092
Pitt R Up,Sockeye,Summer,1993,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,18752,5159,650.167,3.467
Pitt R Up,Sockeye,Summer,1994,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,3506,3506,1967.048,56.105
Pitt R Up,Sockeye,Summer,1994,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,5684,1060,1729.609,30.429
Pitt R Up,Sockeye,Summer,1995,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,1947,1947,529.511,27.196
Pitt R Up,Sockeye,Summer,1995,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,5500,1947,678.581,12.338
Pitt R Up,Sockeye,Summer,1996,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,4366,4366,3021.405,69.203
Pitt R Up,Sockeye,Summer,1996,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,50100,16988,16892.731,33.718
Pitt R Up,Sockeye,Summer,1997,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,4241,4241,3774.633,89.003
Pitt R Up,Sockeye,Summer,1997,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,36000,3906,13162.001,36.561
Pitt R Up,Sockeye,Summer,1998,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,B1,Total Adults,5067,5067,4367.472,86.194
Pitt R Up,Sockeye,Summer,1998,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,N1,Total Adults,76888,7111,8986.555,11.688
Pitt R Up,Sockeye,Summer,1999,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,Hatchery removals,Total Adults,3657,3657,4314.293,117.974
Pitt R Up,Sockeye,Summer,1999,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,Natural spawners,Total Adults,35961,3899,10153.356,28.234
Pitt R Up,Sockeye,Summer,2000,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,.,Total Adults,4045,4045,2488.762,61.527
Pitt R Up,Sockeye,Summer,2000,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,.,Total Adults,42638,6566,16887.186,39.606
Pitt R Up,Sockeye,Summer,2001,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,Broodstock,Brood removals,Total Adults,3314,3314,1890.187,57.036
Pitt R Up,Sockeye,Summer,2001,249,Pitt R Up,SEL-03-05,PITT-EARLY SUMMER TIMING,River,Natural spawners,Total Adults,131481,17019,7662.816,5.828
Powell R,Chum,Fall,1997,444,Lang Cr,CM-4,GEORGIA STRAIT,Above Fence,N1,Total Adults,1386,986,172.553,12.45
Powell R,Chum,Fall,1997,444,Lang Cr,CM-4,GEORGIA STRAIT,Below Fence,N2,Total Adults,80,0,9.959,12.449
Powell R,Chum,Fall,1997,444,Lang Cr,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,654,654,81.421,12.45
Puntledge R,Chum,Fall,1990,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,H1,Total Adults,5752,5752,1870.471,32.519
Puntledge R,Chum,Fall,1990,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,70000,2536,20849.384,29.785
Puntledge R,Chum,Fall,1991,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,3403,3403,2072.987,60.916
Puntledge R,Chum,Fall,1991,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,H2,Total Adults,2409,2409,381.413,15.833
Puntledge R,Chum,Fall,1991,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N2,Total Adults,60000,10242,2257.737,3.763
Puntledge R,Chum,Fall,1992,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,6016,6016,3320.906,55.201
Puntledge R,Chum,Fall,1992,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,70000,764,12345.047,17.636
Puntledge R,Chum,Fall,1993,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,3390,3390,1820.236,53.694
Puntledge R,Chum,Fall,1993,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,80000,9506,4121.248,5.152
Puntledge R,Chum,Fall,1994,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,919,919,159.178,17.321
Puntledge R,Chum,Fall,1994,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B2,Total Adults,5079,5079,3922.847,77.237
Puntledge R,Chum,Fall,1994,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,99081,2565,17161.629,17.321
Puntledge R,Chum,Fall,1995,105,Puntledge R,CM-4,GEORGIA STRAIT,Broodstock,B1,Total Adults,8514,8514,5107.899,59.994
Puntledge R,Chum,Fall,1995,105,Puntledge R,CM-4,GEORGIA STRAIT,River,N1,Total Adults,50000,8514,7349.93,14.7
