PROJ_ID,PROJ_CODE,PROJ_NAME,PROGRAM_CODE,SPECIES_CODE,SPECIES_NAME,RUN_CODE,RUN_NAME,BROOD_YEAR,STOCK_CODE,STOCK_NAME,STOCK_CU_INDEX,STOCK_CU_NAME,STOCK_TYPE_CODE,REARING_TYPE_CODE,FACILITY_CODE,FACILITY_NAME,RELEASE_SITE_CODE,RELEASE_SITE_NAME,PROD_AREA_CODE,STAGE_CODE,RELEASE_STAGE_NAME,RELEASE_CODE,TAG_USE_INDEX,MRP_TAGCODE,RELEASE_YEAR,START_DATE,END_DATE,AVE_LENGTH,AVE_WEIGHT,RELEASE_COMMENT,MARK_TYPE_CODE,RPUR_CODE,SURVIVAL_CODE,EXPLOIT_CODE,MARINE_DIST_CODE,BIOSTND_CODE,TAG_LOSS_RATE,Clip,TotTagged,TotRelease,Age,RLDT_ID,RecovYear,"1Alaskan Net (AK Catch, sampled by Canada)",1Alberni Canal Sport,1Alberni Inlet Commercial Gillnet and EO Fisheries,1BC Unknown Marine,1Bella Coola R FSC,1Central Net General 2009+,1Central Net pre 2009,1Central Net Terminal PFMA 8 2009+,1Central Sport,1Comb_CR: BC Unknown,1Comb_CR: Fraser Gillnet & Georgia Str Net,1Comb_CR: Georgia Str & SW Vcr Is Troll,"1Comb_CR: Georgia Str, N & S Central Troll",1Comb_CR: Johnstone Str & Georgia Str Net,1Comb_CR: Johnstone Strait & Central Net,1Comb_CR: North & South Central Troll,1Comb_CR: Northern & Central Net,"1Comb_CR: Northern, N & S Central Troll",1Comb_CR: NW & SW Vancouver Is Troll,1Comb_CR: NW & SW Vcr Is & WA/OR Troll,"1Comb_CR: NW Vcr Is, N & S Central Troll",1Fraser FN Fall Winter Below Harrison (2011+),1Fraser FN Fall Winter Harrison to Thompson R (2011+),1Fraser Gillnet & FN Fall Winter Below Harrison (1990+),1Fraser Gillnet & FN Spring Summer (1990+),1Fraser Gillnet (pre 1990 and 2008+),1Fraser Seine,1Freshwater Sport,1Georgia Strait Net,1Georgia Strait Sport Central,1Georgia Strait Sport North,1Georgia Strait Sport South,1Georgia Strait Troll,1Johnstone Strait Net,1Johnstone Strait Sport South,1Juan De Fuca Net,1Juan de Fuca Sport,1Juan De Fuca Troll,1North Central Troll,1North WCVI Taaq-wiihak Fishery,1Northern Net,1Northern Sport,1Northern Troll,1Northwest Vancouver Is Net,1Northwest Vancouver Is Troll,1Nuu-chah-nulth Aboriginal Fishery,1Skeena Test Fishery,1South Central Troll,1South WCVI Taaq-wiihak Fishery,1Southwest Vancouver Is Net,1Southwest Vancouver Is Net (Exc Alberni Inlet),1Southwest Vancouver Is Troll,"1WA Net (WA Catch, sampled by Canada)",1WA/OR Troll (Historical),1West Coast Vancouver Is Sport,2Alaska Dept of Fish and Game (AK),2California Dept of Fish and Game (CA),2National Marine Fisheries Service (AK),2Oregon Dept of Fish and Wildlife (OR),2Quinault Dept of Natural Resource (WA),2Washington Dept of Fisheries and Wildlife (WA),3Hatchery Removals,3Natural Spawners,3Rack First Nations,3Rack Tendered,3Terminal First Nations,3Terminal Other,CDNCatch,USCatch,TotCatch,Escape,TotCatch+Esc
261,1656,Baynes Snd Strms,COL,115,Coho,3,Fall,1990,1656,Baynes Snd Strms,CO-12,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,M,H,111,Rosewall Creek H,111,Rosewall Cr,GSVI,S,Smolt 1+,021008,0,021008,1992,19920508,19920510,0,17,COLONIZATION,CWT,B,C,N,Y,N,0.010007,AD Clip,24137,26381,2,14492,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,6.85,35.24,,,,7.37,0,7.37,42.25,49.62
261,1656,Baynes Snd Strms,COL,115,Coho,3,Fall,1990,1656,Baynes Snd Strms,CO-12,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,M,H,111,Rosewall Creek H,111,Rosewall Cr,GSVI,S,Smolt 1+,021008,0,021008,1992,19920508,19920510,0,17,COLONIZATION,CWT,B,C,N,Y,N,0.010007,AD Clip,24137,26381,3,14492,1993,,,,,,,4.04,,45.16,,,,,,,,,,,,,,,3.62,1.54,,,,10.6,,1284.67,163.71,300.4,81.89,,,6.62,,,,,,16.61,,48.45,,,6.04,,,,22.75,,,,12.5,,,,,6.68,12.7,20.08,99.74,,,,1996.1,19.18,2015.28,132.52,2147.8
261,1656,Baynes Snd Strms,COL,115,Coho,3,Fall,1992,1656,Baynes Snd Strms,CO-12,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,M,H,111,Rosewall Creek H,111,Rosewall Cr,GSVI,S,Smolt 1+,181634,0,181634,1994,19940520,19940520,0,16,COLONIZATION,CWT,B,C,N,Y,N,,AD Clip,18217,18289,3,14494,1995,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,18.35,,,8.24,,8.26,24.39,,,,,,,,55.87,,,,,,,192.23,,,,,,,,,17.47,10.88,24.62,94.62,,,,313.34,17.47,330.81,130.12,460.93
261,1656,Baynes Snd Strms,COL,115,Coho,3,Fall,1993,1656,Baynes Snd Strms,CO-12,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,M,H,111,Rosewall Creek H,111,Rosewall Cr,GSVI,S,Smolt 1+,026320,0,026320,1995,19950520,19950520,0,18.4,COLONIZATION; SERIOUS BKD OUTBREAK PRIOR TO RELEASE.,CWT,B,C,N,Y,N,,AD Clip,11682,11711,2,14504,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.08,1.85,,,,0,0,0,2.08,2.08
261,1656,Baynes Snd Strms,COL,115,Coho,3,Fall,1993,1656,Baynes Snd Strms,CO-12,SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS,M,H,111,Rosewall Creek H,111,Rosewall Cr,GSVI,S,Smolt 1+,026320,0,026320,1995,19950520,19950520,0,18.4,COLONIZATION; SERIOUS BKD OUTBREAK PRIOR TO RELEASE.,CWT,B,C,N,Y,N,,AD Clip,11682,11711,3,14504,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,,,,,,,6,,,,,,,,,,0.1,0.32,0.81,,,,9.93,0,9.93,1.23,11.16
234,1364,Bella Coola R,PIP,115,Coho,3,Fall,1985,73,Thorsen Cr/CCST,CO-22,BELLA COOLA-DEAN RIVERS,M,H,1364,Bella Coola River H,73,Thorsen Cr/CCST,CCST,F,Fed Fry,024108,0,024108,1986,19860721,19860721,0,1.7,,CWT,B,N,N,Y,N,0.009989,AD Clip,20614,20822,3,9769,1988,,,,,,,59.36,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,2.57,,,,,5.19,,25.92,,47.93,,11.8,,,5.56,,,,,,,,19.14,,,,,,,,,,,,166.71,19.14,185.85,0,185.85
234,1364,Bella Coola R,PIP,115,Coho,3,Fall,1985,73,Thorsen Cr/CCST,CO-22,BELLA COOLA-DEAN RIVERS,M,H,1364,Bella Coola River H,73,Thorsen Cr/CCST,CCST,F,Fed Fry,024108,0,024108,1986,19860721,19860721,0,1.7,,CWT,B,N,N,Y,N,0.009989,AD Clip,20614,20822,4,9769,1989,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,6.54,,,,,,,,,,,,,,,25.28,,,,,10.8,,,,,,,,21.84,,,,,,,,,,,,44.21,21.84,66.05,0,66.05
22,100,Big Qualicum R,OPS,115,Coho,3,Fall,1970,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,M,H,100,Big Qualicum River H,100,Big Qualicum R,GSVI,S,Smolt 1+,BLLBXR,1,BLLBXR*1,1972,19720331,19720507,113,16.4,,CWT,P,N,N,N,N,,AD Clip,21387,209760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,100,Big Qualicum R,OPS,115,Coho,3,Fall,1970,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,M,H,100,Big Qualicum River H,100,Big Qualicum R,GSVI,S,Smolt 1+,BLLGBL,1,BLLGBL*1,1972,19720331,19720507,113,16.4,,CWT,P,N,N,N,N,,AD Clip,981,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,100,Big Qualicum R,OPS,115,Coho,3,Fall,1971,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,M,H,100,Big Qualicum River H,100,Big Qualicum R,GSVI,S,Smolt 1+,BLLBBL,2,BLLBBL*2,1973,197305,19730511,0,16.9,EARLY RELEASE; REGULAR FEED,CWT,P,Y,Y,Y,Y,0.004396,AD Clip,32156,43827,2,257,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.57,575.78,,,,,0,0,0,1023.35,1023.35
