year,region,type,fishery,CWT_catch
2015,NCST,Rec,Rec,69.24
2015,NCST,Commercial,Troll,690.13
2015,WCVI,Commercial,Net,248.23000000000002
2015,WCVI,Rec,Rec,2384.89
2015,WCVI,Commercial,Troll,126.71
2016,CCST,Rec,Rec,335.25
2016,CCST,Commercial,Troll,39.18
2016,ISC,Commercial,Net,193.57
2016,ISC,Other,Other,12.059999999999999
2016,ISC,Rec,Rec,2918.99
2016,NCST,Commercial,Net,148.26999999999998
2016,NCST,Rec,Rec,290.23
2016,NCST,Commercial,Troll,575.34
2016,WCVI,Commercial,Net,600.41
2016,WCVI,Rec,Rec,3308.99
2016,WCVI,Commercial,Troll,2.33
2017,CCST,Rec,Rec,159.16
2017,CCST,Commercial,Troll,7.34
2017,ISC,Commercial,Net,149.06
2017,ISC,Other,Other,9.69
2017,ISC,Rec,Rec,4021.68
2017,NCST,Commercial,Net,2.0300000000000002
2017,NCST,Rec,Rec,545.61
2017,NCST,Commercial,Troll,859.72
2017,WCVI,Commercial,Net,316.68
2017,WCVI,Rec,Rec,3492.27
2017,WCVI,Commercial,Troll,40.39
2018,CCST,Rec,Rec,206.88
2018,CCST,Commercial,Troll,4.33
2018,ISC,Commercial,Net,8.08
2018,ISC,Rec,Rec,3444.95
2018,NCST,Commercial,Net,4.94
2018,NCST,Rec,Rec,338.73
2018,NCST,Commercial,Troll,786.77
2018,WCVI,Commercial,Net,1606.3400000000001
2018,WCVI,Rec,Rec,3727.58
2018,WCVI,Commercial,Troll,550.9399999999999
2019,CCST,Rec,Rec,125.45
2019,CCST,Commercial,Troll,4.86
2019,ISC,Commercial,Net,11.82
2019,ISC,Rec,Rec,2022.1299999999999
2019,NCST,Commercial,Net,2.65
2019,NCST,Rec,Rec,263.35
2019,NCST,Commercial,Troll,545.41
2019,WCVI,Commercial,Net,1260.96
2019,WCVI,Rec,Rec,3951.2599999999998
2019,WCVI,Commercial,Troll,5.03
2020,ISC,Commercial,Net,36.12
2020,ISC,Rec,Rec,5658.89
2020,NCST,Commercial,Net,1.21
2020,NCST,Rec,Rec,26.64
2020,NCST,Commercial,Troll,175.44
2020,WCVI,Commercial,Net,659.53
2020,WCVI,Rec,Rec,5180.36
2020,WCVI,Commercial,Troll,10.48
