year,region,type,fishery,CWT_catch,tot_catch
1996,CCST,Commercial,Troll,207.41,10410
1996,ISC,Commercial,Net,1775.1200000000001,5891
1996,ISC,Rec,Rec,18517.5,36900
1996,NCST,Commercial,Net,2900.58,132028
1996,NCST,Other,Other,273.03000000000003,NA
1996,NCST,Rec,Rec,1285.1599999999999,NA
1996,NCST,Commercial,Troll,5640.44,322726
1996,WCVI,Commercial,Net,288.66,4285
1996,WCVI,Rec,Rec,17922.56,118733
1996,WCVI,Commercial,Troll,101703.52,793525
1997,CCST,Commercial,Net,2294.55,15787
1997,CCST,Rec,Rec,730.85,NA
1997,CCST,Commercial,Troll,170.8,7171
1997,ISC,Commercial,Net,1932.21,6411
1997,ISC,Rec,Rec,14073.81,14994
1997,ISC,Commercial,Troll,68.47,1182
1997,NCST,Commercial,Net,1986.82,30795
1997,NCST,Other,Other,6.26,NA
1997,NCST,Rec,Rec,402.89,NA
1997,NCST,Commercial,Troll,2881.32,160504
1997,WCVI,Commercial,Net,149.8,251
1997,WCVI,Rec,Rec,16294.21,125056
1997,WCVI,Commercial,Troll,39.07,41
1998,CCST,Commercial,Net,77.66000000000001,991
1998,CCST,Rec,Rec,7.3,NA
1998,ISC,Commercial,Net,107.24,0
1998,ISC,Rec,Rec,1997.2,1772
1998,ISC,Commercial,Troll,3.63,0
1998,NCST,Rec,Rec,33.65,NA
1998,WCVI,Rec,Rec,87.3,61
1999,CCST,Commercial,Net,203.56,601
1999,CCST,Rec,Rec,844.54,NA
1999,ISC,Commercial,Net,3.84,3
1999,ISC,Rec,Rec,9477.92,310
1999,ISC,Commercial,Troll,1.2,0
1999,NCST,Commercial,Net,168.54000000000002,2779
1999,NCST,Rec,Rec,57.99,NA
1999,WCVI,Rec,Rec,202.84,8488
2000,CCST,Commercial,Net,140.4,1641
2000,CCST,Rec,Rec,64.46000000000001,NA
2000,ISC,Commercial,Net,62.63,464
2000,ISC,Rec,Rec,173842.93,4225
2000,ISC,Commercial,Troll,1.82,14
2000,NCST,Commercial,Net,35.730000000000004,1775
2000,NCST,Rec,Rec,17.07,NA
2000,WCVI,Commercial,Net,4.04,249
2000,WCVI,Rec,Rec,4862.29,7775
2001,CCST,Commercial,Net,212.5,2272
2001,CCST,Rec,Rec,15.61,NA
2001,ISC,Commercial,Net,41.81999999999999,28
2001,ISC,Rec,Rec,35598.88,12088
2001,NCST,Commercial,Net,8.84,241
2001,NCST,Rec,Rec,299.90000000000003,NA
2001,NCST,Commercial,Troll,27.82,8948
2001,WCVI,Commercial,Net,51.099999999999994,101
2001,WCVI,Rec,Rec,35033.19,39141
2002,CCST,Commercial,Net,109.83,1259
2002,CCST,Rec,Rec,46.19,NA
2002,CCST,Commercial,Troll,136.37,9037
2002,ISC,Commercial,Net,165.86,232
2002,ISC,Rec,Rec,13725.69,6125
2002,NCST,Rec,Rec,119.50999999999999,NA
2002,NCST,Commercial,Troll,393.24,115108
2002,WCVI,Rec,Rec,6101.33,29875
2003,CCST,Commercial,Net,947.94,3047
2003,CCST,Rec,Rec,1823.3999999999999,NA
2003,ISC,Commercial,Net,19.1,237
2003,ISC,Rec,Rec,14465.94,11267
2003,NCST,Commercial,Net,233.32999999999998,7343
2003,NCST,Rec,Rec,528.51,NA
2003,NCST,Commercial,Troll,694.12,207988
2003,WCVI,Commercial,Net,3559.98,6366
2003,WCVI,Rec,Rec,14427.359999999999,66985
2004,CCST,Commercial,Net,38.54,55872
2004,CCST,Rec,Rec,1389.23,NA
2004,ISC,Rec,Rec,1749.57,8262
2004,NCST,Commercial,Net,287.23,22966
2004,NCST,Rec,Rec,640.6800000000001,NA
2004,NCST,Commercial,Troll,2376.9,237193
2004,WCVI,Rec,Rec,13030.61,50981
2005,CCST,Commercial,Net,166.27,52456
2005,CCST,Rec,Rec,222.01,NA
2005,ISC,Rec,Rec,1929.92,10369
2005,NCST,Commercial,Net,90.73,48452
2005,NCST,Rec,Rec,471.38,NA
2005,NCST,Commercial,Troll,1263.8000000000002,260281
2005,WCVI,Commercial,Net,846.8,3908
2005,WCVI,Rec,Rec,9085.58,49614
2005,WCVI,Commercial,Troll,245.75,2010
2006,CCST,Commercial,Net,3.95,4982
2006,CCST,Rec,Rec,252.33999999999997,NA
