year,region,type,fishery,CWT_catch,tot_catch
1990,ISC,Commercial,Net,12052.81,39320
1990,ISC,Rec,Rec,21804.62,83594
1990,ISC,Commercial,Troll,7023.19,45841
1990,NCST,Commercial,Net,7486.79,39240
1990,NCST,Rec,Rec,4960.06,NA
1990,NCST,Commercial,Troll,36235.69,153888
1990,WCVI,Commercial,Net,26267.18,41897
1990,WCVI,Rec,Rec,34912.75,83261
1990,WCVI,Commercial,Troll,24999.82,298023
1991,CCST,Commercial,Net,4916.72,18927
1991,CCST,Rec,Rec,3487.94,NA
1991,CCST,Commercial,Troll,11701.03,22495
1991,ISC,Commercial,Net,13519.11,34362
1991,ISC,Other,Other,298.48,NA
1991,ISC,Rec,Rec,36497.93,96785
1991,ISC,Commercial,Troll,10444.98,37505
1991,NCST,Commercial,Net,6976.75,56215
1991,NCST,Rec,Rec,5294.77,NA
1991,NCST,Commercial,Troll,43319.71,193576
1991,WCVI,Commercial,Net,45772.5,73042
1991,WCVI,Rec,Rec,48725.28,97404
1991,WCVI,Commercial,Troll,30521.95,202597
1992,CCST,Commercial,Net,6390.46,20738
1992,CCST,Rec,Rec,4548.29,NA
1992,CCST,Commercial,Troll,12357.26,25634
1992,ISC,Commercial,Net,6914.6,21167
1992,ISC,Rec,Rec,39760.14,99697
1992,ISC,Commercial,Troll,19581.74,53846
1992,NCST,Commercial,Net,4855.33,43496
1992,NCST,Other,Other,1392.41,NA
1992,NCST,Rec,Rec,5862.64,NA
1992,NCST,Commercial,Troll,32500.329999999998,142067
1992,WCVI,Commercial,Net,6157.06,25384
1992,WCVI,Rec,Rec,32871.06,64674
1992,WCVI,Commercial,Troll,89519.47,346616
1993,CCST,Commercial,Net,3034.36,11176
1993,CCST,Rec,Rec,4447.04,NA
1993,CCST,Commercial,Troll,6500.07,12960
1993,ISC,Commercial,Net,11834.19,36682
1993,ISC,Rec,Rec,37293.83,109502
1993,ISC,Commercial,Troll,10433.25,45136
1993,NCST,Commercial,Net,7139.51,44677
1993,NCST,Rec,Rec,4449.91,NA
1993,NCST,Commercial,Troll,28708.83,161643
1993,WCVI,Commercial,Net,23020.05,32185
1993,WCVI,Rec,Rec,59140.75,82664
1993,WCVI,Commercial,Troll,57152.39,274736
1994,CCST,Commercial,Net,6313.45,15360
1994,CCST,Rec,Rec,1517.15,NA
1994,CCST,Commercial,Troll,2797.34,8093
1994,ISC,Commercial,Net,5813.76,25299
1994,ISC,Rec,Rec,16640.4,55862
1994,ISC,Commercial,Troll,6567.6,24981
1994,NCST,Commercial,Net,4109.38,26218
1994,NCST,Other,Other,674.46,NA
1994,NCST,Rec,Rec,4129.59,NA
1994,NCST,Commercial,Troll,21721.13,164257
1994,WCVI,Commercial,Net,16412.489999999998,17588
1994,WCVI,Rec,Rec,42876.78,73732
1994,WCVI,Commercial,Troll,17688.73,145861
1995,CCST,Commercial,Net,5290.51,12122
1995,CCST,Rec,Rec,942.93,NA
1995,CCST,Commercial,Troll,221.29,2662
1995,ISC,Commercial,Net,4181.29,8109
1995,ISC,Rec,Rec,18835.23,50670
1995,ISC,Commercial,Troll,368.02,2041
1995,NCST,Commercial,Net,3464.55,28008
1995,NCST,Other,Other,8.34,NA
1995,NCST,Rec,Rec,5005.76,NA
1995,NCST,Commercial,Troll,4751.72,56869
1995,WCVI,Commercial,Net,3270.92,1980
1995,WCVI,Rec,Rec,17344.79,41360
1995,WCVI,Commercial,Troll,8196.05,81194
1996,CCST,Commercial,Net,3054.84,7201
1996,CCST,Rec,Rec,2818.86,NA
1996,ISC,Commercial,Net,1897.48,4617
1996,ISC,Rec,Rec,29888.62,74698
1996,NCST,Commercial,Net,2983.89,30589
1996,NCST,Rec,Rec,773.51,NA
1996,WCVI,Commercial,Net,10.94,137
1996,WCVI,Rec,Rec,2824.37,20746
1997,CCST,Commercial,Net,1799.81,3651
1997,CCST,Rec,Rec,3193.87,NA
1997,CCST,Commercial,Troll,2383.63,9274
1997,ISC,Commercial,Net,3036.68,25185
1997,ISC,Rec,Rec,21265.87,44744
1997,ISC,Commercial,Troll,364.03,2052
1997,NCST,Commercial,Net,1657.81,20829
1997,NCST,Other,Other,736.47,NA
1997,NCST,Rec,Rec,4253.41,NA
1997,NCST,Commercial,Troll,6523.96,84384
1997,WCVI,Commercial,Net,4338.5,301
1997,WCVI,Rec,Rec,25474.25,68891
1997,WCVI,Commercial,Troll,8023.86,52635
1998,CCST,Commercial,Net,2511.88,5467
1998,CCST,Rec,Rec,3935.6,NA
1998,ISC,Commercial,Net,927.73,4948
1998,ISC,Rec,Rec,8756.94,15695
1998,NCST,Commercial,Net,88.17,6135
1998,NCST,Rec,Rec,12515.56,NA
1998,NCST,Commercial,Troll,10752.52,117146
1998,WCVI,Commercial,Net,4242.9400000000005,327
1998,WCVI,Rec,Rec,37492.96,67982
1998,WCVI,Commercial,Troll,530,11396
1999,CCST,Commercial,Net,1401.56,4342
1999,CCST,Rec,Rec,3826.63,NA
1999,CCST,Commercial,Troll,1238.95,2073
1999,ISC,Commercial,Net,1655.59,164
1999,ISC,Rec,Rec,17874.18,36021
1999,NCST,Commercial,Net,233.5,8662
1999,NCST,Rec,Rec,9275.79,NA
1999,NCST,Commercial,Troll,4165.73,44900
1999,WCVI,Commercial,Net,2439.9900000000002,80
1999,WCVI,Rec,Rec,16631.97,93604
1999,WCVI,Commercial,Troll,4820.67,56280
2000,CCST,Commercial,Net,928.96,3198
2000,CCST,Rec,Rec,1709.23,NA
2000,ISC,Commercial,Net,831.0500000000001,4520
2000,ISC,Rec,Rec,8054.06,30401
2000,NCST,Commercial,Net,298.89,19716
2000,NCST,Rec,Rec,3022.8,NA
2000,NCST,Commercial,Troll,62.660000000000004,9948
2000,WCVI,Rec,Rec,6070.6900000000005,53752
2000,WCVI,Commercial,Troll,2061.49,34480
2001,CCST,Commercial,Net,1178.28,6465
2001,CCST,Rec,Rec,2515.79,NA
2001,ISC,Commercial,Net,912.42,342
2001,ISC,Rec,Rec,16707.25,40688
2001,ISC,Commercial,Troll,16.740000000000002,781
2001,NCST,Commercial,Net,517.23,22670
2001,NCST,Rec,Rec,2217.67,NA
2001,NCST,Commercial,Troll,212.70999999999998,13351
2001,WCVI,Rec,Rec,5979.73,48304
2001,WCVI,Commercial,Troll,3255.01,58369
2002,CCST,Commercial,Net,900.4,4676
2002,CCST,Rec,Rec,4946.21,NA
2002,CCST,Commercial,Troll,185.04,482
2002,ISC,Commercial,Net,2350.29,4973
2002,ISC,Rec,Rec,13146.62,60270
2002,ISC,Commercial,Troll,19.42,569
2002,NCST,Commercial,Net,220,13514
2002,NCST,Rec,Rec,3826.96,NA
2002,NCST,Commercial,Troll,10667.08,103021
2002,WCVI,Commercial,Net,5233.53,241
2002,WCVI,Rec,Rec,29907.59,87328
2002,WCVI,Commercial,Troll,10418.22,134462
2003,CCST,Rec,Rec,11109.3,NA
2003,ISC,Commercial,Net,1257.63,4965
2003,ISC,Rec,Rec,10105.16,30368
2003,ISC,Commercial,Troll,191.65,1018
2003,NCST,Commercial,Net,204.48,13401
2003,NCST,Rec,Rec,3090.58,NA
2003,NCST,Commercial,Troll,7828.94,139862
2003,WCVI,Commercial,Net,6611.61,9237
2003,WCVI,Rec,Rec,30562.6,102900
2003,WCVI,Commercial,Troll,4339,155307
2004,CCST,Rec,Rec,15045.88,NA
2004,ISC,Commercial,Net,2129.63,8110
2004,ISC,Rec,Rec,9387.14,30061
2004,ISC,Commercial,Troll,36.68,683
2004,NCST,Commercial,Net,329.22,11107
2004,NCST,Rec,Rec,7360.66,NA
2004,NCST,Commercial,Troll,10605.98,169306
2004,WCVI,Commercial,Net,18422.63,12308
2004,WCVI,Rec,Rec,49394.36,137554
2004,WCVI,Commercial,Troll,10253.9,169852
2005,CCST,Commercial,Net,276.45,6305
2005,CCST,Rec,Rec,19247.06,NA
2005,ISC,Commercial,Net,3108.19,167
2005,ISC,Rec,Rec,15485.39,26239
2005,NCST,Commercial,Net,95.75,5107
2005,NCST,Rec,Rec,7630.75,NA
2005,NCST,Commercial,Troll,7158,155247
2005,WCVI,Commercial,Net,39007.53,23364
2005,WCVI,Rec,Rec,27376.25,122787
2005,WCVI,Commercial,Troll,8730.73,140394
2006,CCST,Rec,Rec,10084.65,NA
2006,ISC,Commercial,Net,789.43,3610
2006,ISC,Rec,Rec,8266.55,21200
2006,NCST,Commercial,Net,122.09,10176
2006,NCST,Rec,Rec,7353.16,NA
2006,NCST,Commercial,Troll,6900.81,129292
2006,WCVI,Commercial,Net,26689.53,19955
2006,WCVI,Rec,Rec,28874.26,105190
2006,WCVI,Commercial,Troll,4682.57,105824
2007,CCST,Commercial,Net,192.92000000000002,5577
2007,CCST,Rec,Rec,3416.96,NA
2007,ISC,Commercial,Net,662.8000000000001,90
2007,ISC,Rec,Rec,7057.35,26431
2007,NCST,Commercial,Net,397.2,9012
2007,NCST,Rec,Rec,6318.67,NA
