stock,recY,area,expcatch,totcatch,enhanced_prop,mort_rate,adj_catch,annual_adj_catch
Stave R,1986,29,1590,98736,0.016103548857559553,NA,1590,14321
Stave R,1987,"12,13",539,98759,0.00545773043469456,NA,539,614
Stave R,1987,29,75,10015,0.0074887668497254116,NA,75,614
Stave R,1988,"12,13",44599,1098792,0.040589119687802606,NA,44599,51371
Stave R,1988,29,6772,86770,0.07804540739887057,NA,6772,51371
Stave R,1989,"12,13",17233,477803,0.03606716575659843,NA,17233,18571
Stave R,1989,29,1338,24551,0.05449879841961631,NA,1338,18571
Bish Cr,1988,6,1103,711068,0.0015511877907598147,NA,1103,1103
Bish Cr,1989,6,178,14875,0.01196638655462185,NA,178,178
Dala R,1987,6,1801,116378,0.015475433501177199,NA,1801,1801
Dala R,1988,6,6569,711068,0.00923821631686421,NA,6569,6569
Dala R,1989,6,175,14875,0.011764705882352941,NA,175,175
Hirsch Cr,1987,6,1806,116378,0.015518396947876746,NA,1806,1806
Hirsch Cr,1988,6,4671,711068,0.006568991995139706,NA,4671,4671
Hirsch Cr,1989,6,305,14875,0.020504201680672268,NA,305,305
Humphreys Cr,1987,6,1940,116378,0.016669817319424633,NA,1940,1940
Humphreys Cr,1988,6,4531,711068,0.006372105058869194,NA,4531,4531
Humphreys Cr,1989,6,96,14875,0.006453781512605042,NA,96,96
Kildala R,1987,6,1266,116378,0.01087834470432556,NA,1266,1266
Kildala R,1988,6,5190,711068,0.007298879994599673,NA,5190,5190
Kildala R,1989,6,253,14875,0.01700840336134454,NA,253,253
Kildala+Dala,1989,6,9,14875,6.050420168067227e-4,NA,9,9
Kitimat R,1987,6,2917,116378,0.02506487480451632,NA,2917,2917
Kitimat R,1988,6,9528,711068,0.013399562348467375,NA,9528,9528
Kitimat R,1989,6,277,14875,0.018621848739495798,NA,277,277
L Qualicum R,1982,"12,13",1616,1163716,0.0013886549639259063,NA,1616,2823
L Qualicum R,1982,14,1051,197325,0.005326238439123274,NA,1051,2823
L Qualicum R,1982,17,156,36028,0.004329965582324858,NA,156,2823
L Qualicum R,1983,"12,13",30,131527,2.2809004995172095e-4,NA,30,3905
L Qualicum R,1983,14,3875,123456,0.03138770088128564,NA,3875,3905
L Qualicum R,1984,14,10642,164134,0.06483726711101905,NA,10642,10642
L Qualicum R,1985,"12,13",15401,566206,0.02720034757667704,NA,15401,120036
L Qualicum R,1985,14,104635,526381,0.19878187092619223,NA,104635,120036
L Qualicum R,1986,"12,13",81343,1230386,0.06611177305333449,NA,81343,164032
L Qualicum R,1986,14,82689,370010,0.22347774384476096,NA,82689,164032
L Qualicum R,1987,"12,13",2932,98759,0.029688433459229033,NA,2932,59859
L Qualicum R,1987,14,56927,352417,0.16153307019808918,NA,56927,59859
L Qualicum R,1988,"12,13",46293,1098792,0.04213081274708953,NA,46293,59821
L Qualicum R,1988,14,9734,38679,0.25166110809483183,NA,9734,59821
L Qualicum R,1988,"17,18",263,78571,0.0033472909852235557,NA,263,59821
L Qualicum R,1988,21,3531,1821644,0.0019383589768363083,NA,3531,59821
L Qualicum R,1989,"12,13",20590,477803,0.04309307392377193,NA,20590,41327
L Qualicum R,1989,14,19220,98482,0.19516256777888344,NA,19220,41327
L Qualicum R,1989,20,59,20713,0.0028484526625790567,NA,59,41327
L Qualicum R,1989,21,1458,294692,0.004947538446920853,NA,1458,41327
Mathers Cr,1984,"2W,2E",2861,378367,0.007561441669067334,NA,2861,2861
Mathers Cr,1985,"2W,2E",5956,703807,0.008462547260825766,NA,5956,5956
Mathers Cr,1986,"2W,2E",1500,237761,0.006308856372575822,NA,1500,1764
Mathers Cr,1987,"2W,2E",699,191226,0.0036553606727118696,NA,699,3352
Nitinat R,1984,21,113570,186663,0.6084226654452141,NA,113570,113570
Nitinat R,1985,21,1053889,1609365,0.6548477194421403,NA,1053889,1053889
Nitinat R,1986,21,270866,387462,0.6990775869633667,NA,270866,270866
Nitinat R,1987,20,1411,21147,0.06672341230434577,NA,1411,259307
Nitinat R,1987,21,257896,395413,0.652219325110707,NA,257896,259307
Nitinat R,1988,21,1235781,1821644,0.6783877640197535,NA,1235781,1235781
Nitinat R,1989,21,166187,294692,0.5639345486134676,NA,166187,166187
Mathers Cr,1986,"2W,2E",264,237761,0.0011103587215733446,NA,264,1764
Mathers Cr,1987,"2W,2E",2653,191226,0.013873636430192546,NA,2653,3352
Mathers Cr,1988,"2W,2E",1377,396356,0.003474149501962882,NA,1377,1377
Mathers Cr,1989,"2W,2E",3359,135565,0.024777781875852913,NA,3359,3359
Pallant Cr,1981,"2W,2E",145,42872,0.0033821608509050196,NA,145,145
Pallant Cr,1982,"2W,2E",456,79041,0.0057691577788742555,NA,456,456
Pallant Cr,1984,"2W,2E",33527,378367,0.08860973604991979,NA,33527,33527
Pallant Cr,1985,"2W,2E",49805,703807,0.07076513873831888,NA,49805,49805
Pallant Cr,1986,"2W,2E",20251,237761,0.08517376693402198,NA,20251,20251
