year,region,Exp CWT,Total Hatchery,Total Catch,Enhanced Contribution
1987,CCST,4010.67,Inf,181021,Inf
1988,CCST,3771.14,23609.626842581998,152592,0.15472388357569203
1989,CCST,2622.95,5871.748603881889,65735,0.08932453949770881
1990,CCST,8636.17,23292.230254025046,271654,0.08574226867274197
1991,CCST,7904.58,26084.84091034721,117719,0.2215856481141295
1992,CCST,10720.63,15400.06569885075,151159,0.1018799125348193
1993,CCST,2791.08,3361.59690692076,55014,0.061104389917489364
1994,CCST,5036.08,5325.016406251433,121025,0.04399930928528348
1995,CCST,5269.25,7638.496121130148,44527,0.1715475132196229
1996,CCST,6434.4400000000005,6536.104793314507,46469,0.14065516351362214
1997,CCST,3196.2000000000003,3256.1632876779518,22958,0.14183131316656292
1998,CCST,84.96000000000001,125.41511203919364,991,0.12655409892955968
1999,CCST,1048.1,2359.6462203972496,601,3.9262000339388514
2000,CCST,204.86,354.83937002962733,1641,0.21623361976211294
2001,CCST,228.11,442.37387050804625,2272,0.19470680920248515
2002,CCST,292.39,1407.6568418904578,10296,0.13671880748741821
2003,CCST,2771.34,5972.3717325725465,23759,0.25137302632991904
2004,CCST,1427.77,4019.9175303841266,89420,0.04495546332346373
2005,CCST,388.28,548.6532958342724,100555,0.0054562507665881594
2006,CCST,256.28999999999996,Inf,15717,Inf
2007,CCST,3.47,15.794099822960645,47091,3.3539529470515904e-4
2008,CCST,336.93,Inf,13725,Inf
2009,CCST,81.87,224.434984878016,15914,0.01410299012680759
2010,CCST,152.84,780.0429077127767,362,2.154814662189991
2011,CCST,361.23999999999995,1727.8807965954243,31604,0.054672851430053925
2012,CCST,225.73,910.3418248049464,495,1.8390743935453464
2013,CCST,966.18,3395.6936015409538,74341.65982190613,0.04567686018412452
2014,CCST,290.43,1038.0690294480921,42958.949907875955,0.02416420866138946
2015,CCST,63.09,168.07019470390694,33706.99349573432,0.004986211384446866
2016,CCST,374.43,2072.9657793404463,24305.346217619503,0.08528846949062202
2017,CCST,166.5,472.95287195189434,36762.858089078814,0.012864964709922676
2018,CCST,211.21,Inf,24457.988877959815,Inf
2019,CCST,130.31,Inf,36908.84844989851,Inf
2020,CCST,0,NA,8176.648700307667,NA
1975,WCVI,6271.63,NA,1270002,NA
1976,WCVI,22473,103501.14338961741,1931917,0.05357432197636721
1977,WCVI,28592.510000000002,28592.510000000002,2131831,0.013412184174073838
1978,WCVI,47686.72,47686.72,1495612,0.031884419221027915
1979,WCVI,43079.78,43079.78,2195092,0.0196255008901677
1980,WCVI,48882.79,130215.3271933438,1914917,0.06800050717255306
1981,WCVI,57942.48,93107.83115726024,1684749,0.05526510545918724
1982,WCVI,59065.66,157344.90081320985,1939849,0.08111193232731509
1983,WCVI,72032.65,91403.61970957456,2231115,0.04096768643013675
1984,WCVI,107347.36,198098.02119511296,2295303,0.08630582593893397
1985,WCVI,97137.62,297440.1339434768,1645511,0.1807585205711033
1986,WCVI,164882.30000000002,329118.59348752187,2406705,0.13675070001829134
1987,WCVI,183038.96,382247.8358527048,2125793,0.17981423207843136
1988,WCVI,107762.51,183495.5353920808,1726068,0.10630840464690894
1989,WCVI,207592.07,546455.1948483768,2379225,0.22967781308971483
1990,WCVI,158761.83,334726.73679163895,2102313,0.1592183165835149
1991,WCVI,271272.81,922626.6770930088,2228257,0.4140575692539096
1992,WCVI,186832.19,436343.4368738964,1934776,0.22552659164363026
1993,WCVI,73469.31,155107.71765879114,1076906,0.14403087888709984
1994,WCVI,194483,484004.6667480204,1517560,0.3189360992303569
1995,WCVI,144557.36000000002,342658.1142669547,1503477,0.22791044642981217
1996,WCVI,119914.74,257461.10091082554,916543,0.28090455211684073
1997,WCVI,16483.079999999998,33301.735984012805,125348,0.26567425075799217
1998,WCVI,87.3,771.9458005700485,125,6.175566404560388
1999,WCVI,202.84,507.7873469399435,8600,0.0590450403418539
2000,WCVI,4866.33,9728.947700249199,8029,1.2117259559408642
2001,WCVI,35084.29,90669.42253116802,39242,2.3105199156813625
2002,WCVI,6101.33,13925.383091544743,30964,0.4497281711518132
2003,WCVI,17987.34,57228.89285847222,73634,0.7772074430082873
