year,region,Exp CWT,Total Hatchery,Total Catch,Enhanced Contribution
1998,ISC,9684.67,10934.923840032881,23190,0.47153617248955937
1999,ISC,19529.77,22860.098967273767,36499,0.6263212407812205
2000,ISC,8885.11,10981.791129859754,35615,0.3083473572893375
2001,ISC,17636.41,20965.551580794203,41811,0.5014362627249815
2002,ISC,15516.33,20236.944072021648,65812,0.3074962631742182
2003,ISC,11554.44,16005.58588879133,36351,0.4403066184916874
2004,ISC,11553.449999999999,16365.831158737918,38854,0.4212135470926524
2005,ISC,18593.579999999998,23974.77113697086,26406,0.9079289228573377
2006,ISC,9055.98,12352.242306197197,24825,0.49757270115597974
2007,ISC,7720.1500000000005,12861.70844211819,26521,0.48496317793892346
2008,ISC,4453.15,9430.100571914953,16169,0.583221013786564
2009,ISC,8153.41,14584.430067085983,31068,0.4694357559896351
2010,ISC,11583.81,19640.996456554985,31878,0.6161301354085885
2011,ISC,5744.32,9994.884139901003,42342,0.2360512998890228
2012,ISC,6923.71,12357.127682995251,34665,0.3564727443529569
2013,ISC,10115.91,18657.167234808603,62301.15723613716,0.29946742664976855
2014,ISC,15750.609999999999,27530.995726446567,76115.63353096535,0.3616996200293913
2015,ISC,12045.73,21539.092674734697,95618.55696072774,0.225260591242568
2016,ISC,12857.55,22312.463512113613,67911.60109031877,0.3285515751931579
2017,ISC,15461.47,26086.305970737714,95282.6284505654,0.27377819435650674
2018,ISC,16740.239999999998,26626.374371404523,100785.328195862,0.26418899306117194
2019,ISC,16088.82,25099.79234728882,73032.68699549053,0.3436788837967667
2020,ISC,23808.63,36184.32735615144,52468.1858267855,0.6896431958903181
